region,channel,product,units_sold,unit_price,cost_per_unit,month,marketing_spend,revenue
North,Online,Gadget,120,49.99,28.5,2024-01,3200,5998.8
West,Online,Accessory,210,19.99,9.2,2024-01,1800,4197.9
South,Retail,Gadget,95,52.5,31.0,2024-01,2500,4987.5
East,Retail,Bundle,130,89.0,55.4,2024-01,4100,11570.0
North,Retail,Accessory,160,18.75,8.5,2024-02,1500,3000.0
West,Online,Gadget,185,47.5,27.8,2024-02,3400,8787.5
South,Online,Bundle,75,92.0,58.0,2024-02,2800,6900.0
East,Retail,Gadget,140,50.0,29.3,2024-02,2950,7000.0
North,Online,Bundle,82,95.0,57.0,2024-03,3600,7790.0
West,Retail,Accessory,200,21.5,9.8,2024-03,2000,4300.0
South,Online,Gadget,110,48.5,28.1,2024-03,3100,5335.0
East,Online,Bundle,90,91.0,56.2,2024-03,3750,8190.0
North,Retail,Gadget,150,51.0,30.2,2024-04,2800,7650.0
West,Online,Bundle,105,93.0,57.8,2024-04,3500,9765.0
South,Retail,Accessory,175,20.25,9.5,2024-04,1700,3543.75
East,Online,Gadget,125,49.5,28.6,2024-04,3050,6187.5
North,Online,Accessory,190,19.5,9.0,2024-05,1850,3705.0
West,Retail,Gadget,135,52.0,30.8,2024-05,2750,7020.0
South,Online,Bundle,88,90.5,55.7,2024-05,2900,7964.0
East,Retail,Accessory,205,22.0,10.0,2024-05,2100,4510.0
